Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
ENGLISH,9.992791,76.246724,4,4,26237,St. Antony`s .E.P.S. Vallarpadam,A,116,1 to 4,50,LP
MALAYALAM,9.889457,76.32323,9,12,26256,St. Antony`s U.P.S. Panangad,A,117,1 to 7,237,UP
ENGLISH,10.014544,76.259322,4,4,26208,St. Francis A.I.L.P.S. Bolgatty,A,118,1 to 4,76,LP
MALAYALAM,10.002963,76.244696,4,5,26228,St. Joseph`s L.P.S. Panambucad,A,119,1 to 4,49,LP
"MALAYALAM,ENGLISH",9.989231,76.249562,"11,5",27,26026,St. Mary`s H.S. Vallarpadom,A,120,1 to 10,"313,175",HS
MALAYALAM,9.994932,76.264441,66,4,26231,St. Mary`s L.P.S Ponnarimangalam,A,121,1 to 4,61,LP
MALAYALAM,10.006356,76.233319,20,36,26027,Santa Cruz H.S Ochanthuruth,A,122,5 to 10,703,HS
MALAYALAM,10.007014,76.261876,7,10,26258,St. Sebastian`s U.P.S. Ponjikkara,A,123,1 to 7,66,UP
"MALAYALAM,ENGLISH",9.89814,76.323245,"25,13",65,26069,V.H.S.S. Panangad,A,124,1 to 10,"874,518",HS
"MALAYALAM,ENGLISH",10.072775,76.212056,"21,2",37,26023,Bhagavathy Vilasom H.S. Nayarambalam,A,125,1 to 10,"736,59",HS
ENGLISH,10.010691,76.235759,4,4,26526,Cruz Miracles E.P.S. Ochanthuruth,A,126,1 to 4,107,LP
MALAYALAM,10.056483,76.21483,7,9,26539,Devi Vilasom U.P.S. Nayarambalam,A,127,1 to 7,88,UP
ENGLISH,10.032418,76.228916,8,8,26512,E.P. School Elankunnapuzha,A,128,1 to 4,308,LP
MALAYALAM,10.047728,76.228868,4,4,26517,G.D.S.M.A.I.L.P.S. Manjanikkad,A,129,1 to 4,21,LP
MALAYALAM,10.047028,76.214846,10,14,26531,Govt. Fisheries U.P.S. Njarakkal,G,130,1 to 7,177,UP
"MALAYALAM,ENGLISH",10.03031,76.231062,"10,2",23,26025,Govt.H.S.S Elamkunnapuzha,G,131,5 to 10,"330,41",HS
MALAYALAM,10.128682,76.197559,4,1,26502,Govt. .L.P.G.S. Cherai,G,132,1 to 4,46,LP
MALAYALAM,10.1451,76.198353,30,5,26501,Govt.. L.P.S .Cherai,G,133,1 to 4,30,LP
MALAYALAM,10.169667,76.180642,4,5,26504,Govt. .L.P.S. Palliport,G,134,1 to 4,57,LP
MALAYALAM,9.975779,76.2423,7,11,26533,Govt. U.P.S. Vypeen,G,135,1 to 7,63,UP
MALAYALAM,10.084252,76.209702,7,10,26530,Govt. U.P.S. Edavanakkad,G,136,1 to 7,94,UP
MALAYALAM,10.002406,76.226313,7,12,26532,Govt. U.P.S. Puthuvaippu,G,137,1 to 7,76,UP
MALAYALAM,10.030347,76.222098,5,6,26529,Govt. L.P.S. Elankunnapuzha,G,138,1 to 5,57,LP
MALAYALAM,10.028494,76.23104,4,5,26503,Govt. New .L.P.S. Elankunnapuzha,G,139,1 to 4,22,LP
"MALAYALAM,ENGLISH",10.090502,76.208281,"26,24",76,26089,Hidayathul Islam H.S.S. Edavanakkad,A,140,1 to 10,"1096,1057",HS
"MALAYALAM,ENGLISH",10.020024,76.22613,"12,7",24,26536,Igmathul Islam Vernicular U.P.S .Malipuram,A,141,1 to 7,"360,194",UP
"MALAYALAM,ENGLISH",10.165569,76.183917,"7,7",15,26541,Little Flower U.P.S. Palliport,A,142,1 to 7,"151,277",UP
"MALAYALAM,ENGLISH",10.001028,76.240194,"86,164",8,26524,Little Teresa`s .G.L.P.S. Ochanthuruth,A,143,1 to 4,"239,239",LP
"MALAYALAM,ENGLISH",10.000905,76.24028,"70,130",8,26543,Infant Jesus U.P.S. Ochanthuruth,A,144,5 to 7,"197,197",UP
MALAYALAM,10.109201,76.202304,4,5,26515,P.B.D.L.P.S Kuzhuppilly,A,145,1 to 4,75,LP
MALAYALAM,10.036505,76.224432,4,5,26521,Perumpilly Church .L.P.S Njarakkal,A,146,1 to 4,105,LP
"MALAYALAM,ENGLISH",10.134986,76.192711,"4,4",9,26508,Ramavarma Union L.P.S. Cherai,A,147,1 to 4,"87,131",LP
"MALAYALAM,ENGLISH",10.128289,76.197142,"15,6",33,26005,Rama Varma Union H.S Cherai,A,148,5 to 10,"616,185",HS
MALAYALAM,10.064549,76.198811,3,3,26544,S.B.S.L.P.S. Puthenkadappuram,A,149,1 to 3,19,LP
MALAYALAM,10.063742,76.224809,4,4,26523,Sacred Family .L.P.S Nedungad,A,150,1 to 4,68,LP
"MALAYALAM,ENGLISH",10.02198,76.23428,"7,3",13,26534,Sacred Heart Girls U.P.S. Karthedom,A,151,1 to 7,"181,90",UP
"MALAYALAM,ENGLISH",10.132376,76.195743,"29,4",50,26008,Sahodaran Memorial H.S.S. Cherai,A,152,5 to 10,"1095,171",HS
"MALAYALAM,ENGLISH",10.151063,76.189091,"8,4",12,26507,Sahodaran Memorial .L.P.S. Cherai,A,153,1 to 4,"193,164",LP
"MALAYALAM,ENGLISH",10.094598,76.206359,"4,4",9,26511,SP Sabha L.P.S. Edavanakad,A,154,1 to 4,"108,129",LP
MALAYALAM,10.155365,76.187565,11,17,26542,S.S .Araya .U.P.S. Pallippuram,A,155,1 to 7,296,UP
MALAYALAM,10.001722,76.235172,14,18,26540,S.S.S.S.U.P.S. Ochanthuruth,A,156,1 to 7,370,UP
"MALAYALAM,ENGLISH",10.044375,76.216664,"4,4",8,26522,Sree Kumara Vilasom Araya .L.P.S. Njarakkal,A,157,1 to 4,"71,90",LP
MALAYALAM,10.082592,76.209487,8,9,26510,St. Ambroses L.P.S. Edavanakkad,A,158,1 to 4,214,LP
